[0713/150340.133:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0715/135955.477:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0715/142330.782:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0715/182936.426:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0715/191818.708:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0716/133920.472:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0719/142028.715:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0720/141128.774:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0720/144911.723:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0723/133708.939:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0725/182238.815:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0727/174222.158:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0803/154624.064:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0804/120911.372:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0804/132406.496:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0806/122043.397:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0819/233548.326:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0824/192816.634:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0825/013900.614:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0828/024824.740:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0916/134117.464:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0916/142623.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0917/193317.239:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0917/231832.592:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0921/035657.788:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0921/125534.602:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/160035.971:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
